,seed,hidden_channels,mu,train_acc,val_acc,test_acc,icd
572,3,1,10,0.1429,0.162,0.149,0.0913
573,3,1,12,0.1429,0.162,0.149,0.0837
574,3,1,14,0.1429,0.162,0.149,0.0782
575,3,1,16,0.1429,0.162,0.149,0.074
576,3,1,18,0.1429,0.162,0.149,0.0705
577,3,1,20,0.1429,0.162,0.149,0.0674
578,3,1,22,0.1429,0.162,0.149,0.0647
579,3,1,24,0.1429,0.162,0.149,0.0624
580,3,1,26,0.1429,0.162,0.149,0.0603
581,3,1,28,0.1429,0.162,0.149,0.0584
582,3,1,30,0.1429,0.162,0.149,0.0567
583,3,1,32,0.1429,0.162,0.149,0.0551
584,3,1,34,0.1429,0.162,0.149,0.0537
585,3,1,36,0.1429,0.162,0.149,0.0524
586,3,1,38,0.1429,0.162,0.149,0.0512
587,3,1,40,0.1429,0.162,0.149,0.0502
588,3,2,0,0.6357,0.52,0.524,0.2727
589,3,2,2,0.1429,0.156,0.144,0.2331
590,3,2,4,0.1429,0.156,0.144,0.1659
591,3,2,6,0.1429,0.156,0.144,0.1339
592,3,2,8,0.1429,0.156,0.144,0.1096
593,3,2,10,0.1429,0.156,0.144,0.0947
594,3,2,12,0.1429,0.156,0.144,0.083
595,3,2,14,0.1429,0.156,0.144,0.0742
596,3,2,16,0.1429,0.156,0.144,0.0675
597,3,2,18,0.1429,0.156,0.144,0.062
598,3,2,20,0.1429,0.156,0.144,0.0574
599,3,2,22,0.1429,0.156,0.144,0.0535
600,3,2,24,0.1429,0.156,0.144,0.0501
601,3,2,26,0.1429,0.156,0.144,0.047
602,3,2,28,0.1429,0.156,0.144,0.0443
603,3,2,30,0.1429,0.156,0.144,0.0419
604,3,2,32,0.1429,0.156,0.144,0.0397
605,3,2,34,0.1429,0.156,0.144,0.0377
606,3,2,36,0.1429,0.156,0.144,0.036
607,3,2,38,0.1429,0.156,0.144,0.0344
608,3,2,40,0.1429,0.156,0.144,0.0329
609,3,4,0,0.9857,0.754,0.766,0.3617
610,3,4,2,0.25,0.13,0.145,0.2543
611,3,4,4,0.1429,0.058,0.064,0.1539
612,3,4,6,0.1429,0.058,0.064,0.1251
613,3,4,8,0.1429,0.058,0.064,0.1058
614,3,4,10,0.1429,0.058,0.064,0.0904
615,3,4,12,0.1429,0.058,0.064,0.0794
616,3,4,14,0.1429,0.058,0.064,0.0707
617,3,4,16,0.1429,0.058,0.064,0.0639
618,3,4,18,0.1429,0.058,0.064,0.0584
619,3,4,20,0.1429,0.058,0.064,0.0537
620,3,4,22,0.1429,0.058,0.064,0.0498
621,3,4,24,0.1429,0.058,0.064,0.0464
622,3,4,26,0.1429,0.058,0.064,0.0434
623,3,4,28,0.1429,0.058,0.064,0.0407
624,3,4,30,0.1429,0.058,0.064,0.0384
625,3,4,32,0.1429,0.058,0.064,0.0364
626,3,4,34,0.1429,0.058,0.064,0.0345
627,3,4,36,0.1429,0.058,0.064,0.0329
628,3,4,38,0.1429,0.058,0.064,0.0314
629,3,4,40,0.1429,0.058,0.064,0.0301
630,3,8,0,0.9857,0.78,0.787,0.4364
631,3,8,2,0.4,0.094,0.116,0.3028
632,3,8,4,0.15,0.316,0.319,0.1808
633,3,8,6,0.1429,0.316,0.319,0.1418
634,3,8,8,0.1429,0.316,0.319,0.12
635,3,8,10,0.1429,0.316,0.319,0.1039
636,3,8,12,0.1429,0.316,0.319,0.0913
637,3,8,14,0.1429,0.316,0.319,0.0813
638,3,8,16,0.1429,0.316,0.319,0.0736
639,3,8,18,0.1429,0.316,0.319,0.0676
640,3,8,20,0.1429,0.316,0.319,0.0624
641,3,8,22,0.1429,0.316,0.319,0.0579
642,3,8,24,0.1429,0.316,0.319,0.0541
643,3,8,26,0.1429,0.316,0.319,0.0507
644,3,8,28,0.1429,0.316,0.319,0.0478
645,3,8,30,0.1429,0.316,0.319,0.0453
646,3,8,32,0.1429,0.316,0.319,0.043
647,3,8,34,0.1429,0.316,0.319,0.0409
648,3,8,36,0.1429,0.316,0.319,0.0391
649,3,8,38,0.1429,0.316,0.319,0.0374
650,3,8,40,0.1429,0.316,0.319,0.0358
651,3,16,0,1.0,0.79,0.812,0.4482
652,3,16,2,0.6571,0.25,0.246,0.3229
653,3,16,4,0.3214,0.168,0.168,0.2128
654,3,16,6,0.2571,0.166,0.157,0.165
655,3,16,8,0.1786,0.156,0.148,0.1281
656,3,16,10,0.1786,0.156,0.148,0.1084
657,3,16,12,0.1714,0.156,0.147,0.0968
658,3,16,14,0.1643,0.156,0.145,0.0889
659,3,16,16,0.1429,0.156,0.144,0.0795
660,3,16,18,0.1429,0.156,0.144,0.0713
661,3,16,20,0.1429,0.156,0.144,0.0658
662,3,16,22,0.1429,0.156,0.144,0.0615
663,3,16,24,0.1429,0.156,0.144,0.0576
664,3,16,26,0.1429,0.156,0.144,0.0541
665,3,16,28,0.1429,0.156,0.144,0.0506
666,3,16,30,0.1429,0.156,0.144,0.048
667,3,16,32,0.1429,0.156,0.144,0.0458
668,3,16,34,0.1429,0.156,0.144,0.0446
669,3,16,36,0.1429,0.156,0.144,0.0439
670,3,16,38,0.1429,0.156,0.144,0.042
671,3,16,40,0.1429,0.156,0.144,0.0403
672,3,32,0,1.0,0.792,0.81,0.4554
673,3,32,2,0.8286,0.23,0.272,0.2822
674,3,32,4,0.5357,0.148,0.173,0.2407
675,3,32,6,0.2714,0.164,0.158,0.1911
676,3,32,8,0.1857,0.156,0.149,0.1495
677,3,32,10,0.1714,0.156,0.145,0.127
678,3,32,12,0.15,0.156,0.146,0.1065
679,3,32,14,0.1429,0.156,0.144,0.0952
680,3,32,16,0.1429,0.156,0.144,0.0849
681,3,32,18,0.1429,0.156,0.144,0.0825
682,3,32,20,0.1429,0.156,0.144,0.0738
683,3,32,22,0.1429,0.156,0.144,0.068
684,3,32,24,0.1429,0.156,0.144,0.0637
685,3,32,26,0.1429,0.156,0.144,0.0596
686,3,32,28,0.1429,0.156,0.144,0.0585
